timestamp,station_id,cmaq_row,cmaq_col,source_file,cmaq_o3,cmaq_so2,cmaq_co,cmaq_no2,cmaq_no,cmaq_rh,cmaq_ta,cmaq_pres,cmaq_wvel,cmaq_nox
2025-12-25 00:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.02771606855094433,0.00010016108717536554,0.08086871355772018,0.0006541542243212461,6.748854502802715e-05,0.8965129256248474,292.8110046386719,99800.1484375,0.004718439653515816,0.0007216427693492733
2025-12-25 01:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.02721157670021057,0.00010620767716318369,0.08229625225067139,0.0008353899465873837,0.0001009259867714718,0.873155415058136,292.77587890625,99854.78125,0.004493522923439741,0.0009363159333588555
2025-12-25 02:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.02783927693963051,8.671530667925254e-05,0.08208691328763962,0.0005791215226054192,0.00017609364294912666,0.8482829332351685,292.85552978515625,99887.7890625,0.0034047290682792664,0.0007552151655545458
2025-12-25 03:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.027991771697998047,7.312183151952922e-05,0.08214378356933594,0.000673926726449281,0.00011330689449096099,0.8548307418823242,292.60113525390625,99909.4609375,0.006660766899585724,0.000787233620940242
2025-12-25 04:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.028164703398942947,6.632656732108444e-05,0.08340408653020859,0.000834488426335156,8.481437544105574e-05,0.870378315448761,291.9131774902344,99922.828125,0.00851795356720686,0.0009193028017762117
2025-12-25 05:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.02889479137957096,6.41745500615798e-05,0.08519945293664932,0.0008535378728993237,7.236880628624931e-05,0.8770132064819336,291.3879089355469,99864.015625,0.008563339710235596,0.000925906679185573
2025-12-25 06:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.029119199141860008,2.358243364142254e-05,0.08897636085748672,0.0009680267539806664,7.677132089156657e-05,0.8765320777893066,290.9231872558594,99755.7890625,0.00680653378367424,0.001044798074872233
2025-12-25 07:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.028947237879037857,1.0000000031710769e-30,0.09237317740917206,0.0011203651083633304,9.019008575705811e-05,0.8714351058006287,290.5111999511719,99725.6484375,0.007264026906341314,0.0012105551941203885
2025-12-25 08:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.028733139857649803,4.33260684076231e-05,0.09437759220600128,0.0013093702727928758,7.228346657939255e-05,0.8736324310302734,290.0084533691406,99774.0703125,0.006589818745851517,0.0013816537393722683
2025-12-25 09:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.030443450435996056,5.300575867295265e-05,0.09369637072086334,0.0013586857821792364,3.2886153348954394e-05,0.871661365032196,289.6738586425781,99827.140625,0.005011638160794973,0.0013915719355281908
2025-12-25 10:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.03310517594218254,1.0000000031710769e-30,0.09508561342954636,0.0014773994917050004,4.085481577931205e-06,0.8666895031929016,289.5126953125,99844.1171875,0.00643303943797946,0.0014814849732829316
2025-12-25 11:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.03306661546230316,1.0000000031710769e-30,0.09553128480911255,0.00147969217505306,6.786050107621122e-06,0.8592848181724548,289.4349365234375,99867.8046875,0.008143906481564045,0.0014864782251606812
2025-12-25 12:00:00,HN_GP,57,49,CCTM_ACONC_v532_gcc_v53_20251225.nc,0.033270709216594696,1.0000000031710769e-30,0.09319912642240524,0.0014148832997307181,6.34660636933404e-06,0.850338339805603,289.49273681640625,99941.96875,0.007806896232068539,0.0014212299061000522
