timestamp,station_id,pm25_nowcast,aqi_pm25,aqi_o3,aqi_no2,aqi_so2,aqi_co,vn_aqi,dominant,level,color
20251225_0,HN_NVC,1.2406069040298462,2.4812138080596924,0.01376637816429135,4.743428507936187e-05,1.6916437016334384e-05,0.00037710439413785903,2.4812138080596924,PM2.5,Tốt,green
20251225_1,HN_NVC,1.2032917141914368,2.4065834283828735,0.0134415179491043,4.540061490843072e-05,3.2117579394252973e-06,0.00037738647311925857,2.4065834283828735,PM2.5,Tốt,green
20251225_10,HN_NVC,0.8623073611940656,1.7246147223881312,0.01434904523193835,0.00041458845953455,4.8253037675749516e-06,0.0004418761655688285,1.7246147223881312,PM2.5,Tốt,green
20251225_11,HN_NVC,0.808614706993103,1.617229413986206,0.0140784457325935,0.0004138899676036,5.101726492284798e-06,0.000437907241284847,1.617229413986206,PM2.5,Tốt,green
20251225_12,HN_NVC,0.8885147533109111,1.7770295066218222,0.01526499725878235,0.00039233962888825,4.199174873065204e-06,0.00042950551956892,1.7770295066218222,PM2.5,Tốt,green
20251225_13,HN_NVC,1.167877993886433,2.335755987772866,0.01611310616135595,0.0003580889315344,2.9700095183216035e-06,0.000421793162822723,2.335755987772866,PM2.5,Tốt,green
20251225_14,HN_NVC,1.4883396165577445,2.976679233115489,0.0160823334008455,0.0003431489167269,3.730189928319306e-06,0.00041449312120676,2.976679233115489,PM2.5,Tốt,green
20251225_15,HN_NVC,1.7038805667091819,3.4077611334183637,0.01597381383180615,0.0003523146151565,4.814717613044195e-06,0.0004140728712081905,3.4077611334183637,PM2.5,Tốt,green
20251225_16,HN_NVC,1.9510230133911401,3.9020460267822803,0.0160737112164497,0.00037576747126875,5.943571159150452e-06,0.000419042520225048,3.9020460267822803,PM2.5,Tốt,green
20251225_17,HN_NVC,2.3011599720864466,4.602319944172893,0.0160143598914146,0.0004217053938191,7.647555321455002e-06,0.000430445596575737,4.602319944172893,PM2.5,Tốt,green
20251225_18,HN_NVC,2.9053157684450097,5.810631536890019,0.01586511358618735,0.00050910876598205,6.361888517858461e-06,0.000436916947364807,5.810631536890019,PM2.5,Tốt,green
20251225_19,HN_NVC,3.7298832253222063,7.459766450644413,0.0155588239431381,0.0006049278890714,3.972684862674215e-06,0.000442729853093624,7.459766450644413,PM2.5,Tốt,green
