timestamp,station_id,station_name,pm25_cmaq,o3_cmaq,no2_cmaq,so2_cmaq,co_cmaq
0,HN_NVC,Nguyễn Văn Cừ,1.2406069040298462,0.027532756328582764,9.486857015872374e-05,4.229109254083596e-05,0.07542087882757187
0,HN_NC,Nhân Chính,1.2233879566192627,0.028544729575514793,7.025562081253156e-05,1.6395979400840588e-05,0.07594006508588791
0,HN_GP,Giải Phóng,1.2279921770095825,0.0279729962348938,7.7408469223883e-05,3.466536509222351e-05,0.075836680829525
1,HN_NVC,Nguyễn Văn Cừ,1.1659765243530273,0.026883035898208618,9.080122981686145e-05,8.029394848563243e-06,0.07547729462385178
1,HN_NC,Nhân Chính,0.921981930732727,0.028839940205216408,0.00013533364108297974,1.117308670472994e-06,0.07661562412977219
1,HN_GP,Giải Phóng,1.0323587656021118,0.027865586802363396,9.903017053147778e-05,1.831208805924689e-06,0.07650287449359894
2,HN_NVC,Nguyễn Văn Cừ,0.8994684815406799,0.02821711078286171,0.00011924499267479405,2.7640787720883964e-06,0.07640504091978073
2,HN_NC,Nhân Chính,0.7133235335350037,0.02903440035879612,0.00020807224791496992,2.9888681183365406e-06,0.07766823470592499
2,HN_GP,Giải Phóng,0.7442368865013123,0.02879779413342476,0.00015711081505287439,3.5139853480359307e-06,0.07796233147382736
3,HN_NVC,Nguyễn Văn Cừ,0.6316053867340088,0.029282590374350548,0.000149972562212497,4.456227998161921e-06,0.07735928893089294
3,HN_NC,Nhân Chính,0.7999516725540161,0.029155895113945007,0.0002628826186992228,4.788209480466321e-06,0.07916523516178131
3,HN_GP,Giải Phóng,0.6417223811149597,0.02952691726386547,0.0002102063735947013,7.079680926835863e-06,0.0804116427898407
4,HN_NVC,Nguyễn Văn Cừ,0.6824702024459839,0.030156461521983147,0.00015876574616413563,6.230734470591415e-06,0.07843391597270966
4,HN_NC,Nhân Chính,0.8443859815597534,0.029000893235206604,0.0003344427386764437,8.329876436619088e-06,0.08065282553434372
4,HN_GP,Giải Phóng,0.7806885838508606,0.030081262812018394,0.0002675373980309814,1.2664312635024544e-05,0.08393329381942749
5,HN_NVC,Nguyễn Văn Cừ,0.7233417630195618,0.03055613674223423,0.00017768493853509426,8.537556823284831e-06,0.07993205636739731
5,HN_NC,Nhân Chính,0.5023292899131775,0.029055088758468628,0.00043023269972763956,9.147389391728211e-06,0.0817888081073761
5,HN_GP,Giải Phóng,0.6190412044525146,0.030291184782981873,0.0003213094314560294,1.6345647964044474e-05,0.0868397206068039
6,HN_NVC,Nguyễn Văn Cừ,0.5103974938392639,0.03055543266236782,0.00024334760382771492,1.076159423973877e-05,0.08167029917240143
6,HN_NC,Nhân Chính,0.45835068821907043,0.02923499420285225,0.0005709046381525695,1.0455402843945194e-05,0.08533938974142075
6,HN_GP,Giải Phóng,0.4540218710899353,0.030149687081575394,0.00045452482299879193,2.148745807062369e-05,0.09116023778915405
7,HN_NVC,Nguyễn Văn Cừ,0.5269048810005188,0.03045801818370819,0.0003742575354408473,1.1255359822825994e-05,0.08369501680135727
7,HN_NC,Nhân Chính,0.5731356143951416,0.02976507507264614,0.000659770390484482,1.045495446305722e-05,0.0878336951136589
7,HN_GP,Giải Phóng,0.5473847985267639,0.02998294308781624,0.0006464861216954887,2.400143966951873e-05,0.09436161816120148
8,HN_NVC,Nguyễn Văn Cừ,0.5601556897163391,0.03024742566049099,0.0005055544897913933,1.3559546459873673e-05,0.0852474793791771
8,HN_NC,Nhân Chính,0.5798695087432861,0.029896849766373634,0.000756735447794199,9.154281542578246e-06,0.08858951926231384
8,HN_GP,Giải Phóng,0.5557992458343506,0.029958641156554222,0.0007694427040405571,2.0800694983336143e-05,0.09461160004138947
9,HN_NVC,Nguyễn Văn Cừ,0.5634081363677979,0.029671404510736465,0.0007015549927018583,1.4330801604955923e-05,0.08724991977214813
9,HN_NC,Nhân Chính,0.6063375473022461,0.02930067479610443,0.0008624308975413442,1.1265487046330236e-05,0.08933915942907333
9,HN_GP,Giải Phóng,0.5574371218681335,0.029269466176629066,0.0009445659234188497,1.9928875190089457e-05,0.09535768628120422
10,HN_NVC,Nguyễn Văn Cừ,0.6158978939056396,0.028698090463876724,0.0008291769190691411,1.2063259418937378e-05,0.08837523311376572
10,HN_NC,Nhân Chính,0.7028728127479553,0.02852928452193737,0.000869076990056783,9.578549907018896e-06,0.08888210356235504
10,HN_GP,Giải Phóng,0.6489269733428955,0.028188735246658325,0.0009928819490596652,1.6388215954066254e-05,0.09307310730218887
11,HN_NVC,Nguyễn Văn Cừ,0.7616336345672607,0.028156891465187073,0.0008277799352072179,1.2754316230711993e-05,0.08758144825696945
11,HN_NC,Nhân Chính,0.9128762483596802,0.030759800225496292,0.0008256390574388206,6.566620413650526e-06,0.08745880424976349
11,HN_GP,Giải Phóng,0.8114017248153687,0.02903325855731964,0.0008823490934446454,1.136102855525678e-05,0.08919139206409454
12,HN_NVC,Nguyễn Văn Cừ,0.9634210467338562,0.030529994517564774,0.0007846792577765882,1.0497937182663009e-05,0.08590110391378403
12,HN_NC,Nhân Chính,1.3605308532714844,0.03298688679933548,0.0007845427608117461,4.0294685277331155e-06,0.0857635885477066
12,HN_GP,Giải Phóng,1.102723240852356,0.03182411566376686,0.0007937405607663095,6.333269084279891e-06,0.08639204502105713
13,HN_NVC,Nguyễn Văn Cừ,1.4385111331939697,0.032226212322711945,0.0007161778630688787,7.425023795804009e-06,0.08435863256454468
13,HN_NC,Nhân Chính,1.811947226524353,0.0331062451004982,0.0007288116030395031,3.3317414818156976e-06,0.08412598073482513
13,HN_GP,Giải Phóng,1.5866265296936035,0.03282827138900757,0.0007006732630543411,3.6545543480315246e-06,0.08412860333919525
14,HN_NVC,Nguyễn Văn Cừ,1.803794026374817,0.032164666801691055,0.0006862978334538639,9.325474820798263e-06,0.08289862424135208
